Year,File,n_categories,Unfold call idx,Unfold key,Unfold event type,Unfold object type,Unfold dt (s),Read time (s),Drilldown time (s)
2014,./data/BPIC14.jsonocel,8,5,"(Interaction,5)",Assignment,Interaction,1.0799315010081045,34.19031767395791,3.478072236001026
2014,./data/BPIC14.jsonocel,8,6,"(Interaction,6)",Assignment,Interaction,1.1168532519950531,34.19031767395791,3.478072236001026
2014,./data/BPIC14.jsonocel,8,7,"(Interaction,7)",Assignment,Interaction,1.0904014150146395,34.19031767395791,3.478072236001026
2014,./data/BPIC14.jsonocel,8,8,"(Interaction,8)",Assignment,Interaction,1.0924259789753705,34.19031767395791,3.478072236001026
2016,./data/BPIC16.jsonocel,8,1,"(Session,1)",taken,Session,19.635477308998816,652.7384907059604,58.69082625198644
2016,./data/BPIC16.jsonocel,8,2,"(Session,2)",taken,Session,22.385159653960727,652.7384907059604,58.69082625198644
2016,./data/BPIC16.jsonocel,8,3,"(Session,3)",taken,Session,22.590382663998753,652.7384907059604,58.69082625198644
2016,./data/BPIC16.jsonocel,8,4,"(Session,4)",taken,Session,22.032137286034413,652.7384907059604,58.69082625198644
2016,./data/BPIC16.jsonocel,8,5,"(Session,5)",taken,Session,23.010970989009365,652.7384907059604,58.69082625198644
2016,./data/BPIC16.jsonocel,8,6,"(Session,6)",taken,Session,22.813133226998616,652.7384907059604,58.69082625198644
2016,./data/BPIC16.jsonocel,8,7,"(Session,7)",taken,Session,23.4546486059553,652.7384907059604,58.69082625198644
2016,./data/BPIC16.jsonocel,8,8,"(Session,8)",taken,Session,23.309500632050913,652.7384907059604,58.69082625198644
2017,./data/BPIC17.jsonocel,8,1,"(Offer,1)",O_Create Offer,Offer,1.3960495709907264,47.97019631502917,2.958661827025935
2017,./data/BPIC17.jsonocel,8,2,"(Offer,2)",O_Create Offer,Offer,1.6654010769561864,47.97019631502917,2.958661827025935
2017,./data/BPIC17.jsonocel,8,3,"(Offer,3)",O_Create Offer,Offer,1.641762489976827,47.97019631502917,2.958661827025935
2017,./data/BPIC17.jsonocel,8,4,"(Offer,4)",O_Create Offer,Offer,1.6283956569968723,47.97019631502917,2.958661827025935
2017,./data/BPIC17.jsonocel,8,5,"(Offer,5)",O_Create Offer,Offer,1.629228591977153,47.97019631502917,2.958661827025935
2017,./data/BPIC17.jsonocel,8,6,"(Offer,6)",O_Create Offer,Offer,1.6451604550238699,47.97019631502917,2.958661827025935
2017,./data/BPIC17.jsonocel,8,7,"(Offer,7)",O_Create Offer,Offer,1.6735426519881003,47.97019631502917,2.958661827025935
2017,./data/BPIC17.jsonocel,8,8,"(Offer,8)",O_Create Offer,Offer,1.6284785339958034,47.97019631502917,2.958661827025935
2019,./data/BPIC19.jsonocel,8,1,"(POItem,1)",Record Goods Receipt,POItem,2.7070935129886493,81.0454217690276,8.366851339000277
2019,./data/BPIC19.jsonocel,8,2,"(POItem,2)",Record Goods Receipt,POItem,3.2069785129860975,81.0454217690276,8.366851339000277
2019,./data/BPIC19.jsonocel,8,3,"(POItem,3)",Record Goods Receipt,POItem,3.126673923979979,81.0454217690276,8.366851339000277
2019,./data/BPIC19.jsonocel,8,4,"(POItem,4)",Record Goods Receipt,POItem,3.0519020229694434,81.0454217690276,8.366851339000277
2019,./data/BPIC19.jsonocel,8,5,"(POItem,5)",Record Goods Receipt,POItem,3.177573392051272,81.0454217690276,8.366851339000277
2019,./data/BPIC19.jsonocel,8,6,"(POItem,6)",Record Goods Receipt,POItem,2.9229619830148295,81.0454217690276,8.366851339000277
2019,./data/BPIC19.jsonocel,8,7,"(POItem,7)",Record Goods Receipt,POItem,2.9316928980406374,81.0454217690276,8.366851339000277
2019,./data/BPIC19.jsonocel,8,8,"(POItem,8)",Record Goods Receipt,POItem,3.1276581460260786,81.0454217690276,8.366851339000277
2014,./data/BPIC14.jsonocel,9,1,"(Interaction,1)",Assignment,Interaction,1.328057915030513,35.51235847600037,3.5805188940139487
2014,./data/BPIC14.jsonocel,9,2,"(Interaction,2)",Assignment,Interaction,1.4627050039707683,35.51235847600037,3.5805188940139487
2014,./data/BPIC14.jsonocel,9,3,"(Interaction,3)",Assignment,Interaction,1.5994053790345788,35.51235847600037,3.5805188940139487
2014,./data/BPIC14.jsonocel,9,4,"(Interaction,4)",Assignment,Interaction,1.1202446620445698,35.51235847600037,3.5805188940139487
2014,./data/BPIC14.jsonocel,9,5,"(Interaction,5)",Assignment,Interaction,1.1521648240159266,35.51235847600037,3.5805188940139487
2014,./data/BPIC14.jsonocel,9,6,"(Interaction,6)",Assignment,Interaction,1.1859540759469382,35.51235847600037,3.5805188940139487
2014,./data/BPIC14.jsonocel,9,7,"(Interaction,7)",Assignment,Interaction,1.1684637760045007,35.51235847600037,3.5805188940139487
2014,./data/BPIC14.jsonocel,9,8,"(Interaction,8)",Assignment,Interaction,1.1248518550419249,35.51235847600037,3.5805188940139487
2014,./data/BPIC14.jsonocel,9,9,"(Interaction,9)",Assignment,Interaction,1.1306822710321285,35.51235847600037,3.5805188940139487
2016,./data/BPIC16.jsonocel,9,1,"(Session,1)",taken,Session,25.498332260991447,655.5415457430063,59.835622897953726
2016,./data/BPIC16.jsonocel,9,2,"(Session,2)",taken,Session,30.056830667017493,655.5415457430063,59.835622897953726
2016,./data/BPIC16.jsonocel,9,3,"(Session,3)",taken,Session,32.14744770398829,655.5415457430063,59.835622897953726
2016,./data/BPIC16.jsonocel,9,4,"(Session,4)",taken,Session,31.615672069019638,655.5415457430063,59.835622897953726
2016,./data/BPIC16.jsonocel,9,5,"(Session,5)",taken,Session,31.470488124003168,655.5415457430063,59.835622897953726
2016,./data/BPIC16.jsonocel,9,6,"(Session,6)",taken,Session,32.4459657970001,655.5415457430063,59.835622897953726
2016,./data/BPIC16.jsonocel,9,7,"(Session,7)",taken,Session,22.479358917975333,655.5415457430063,59.835622897953726
2016,./data/BPIC16.jsonocel,9,8,"(Session,8)",taken,Session,21.60830388899194,655.5415457430063,59.835622897953726
